CustomDataset: images.shape=(18900, 3, 128, 128), labels.shape=(18900,)
Epoch 69/500, Train Loss: -5.8183, Val Loss: -5.5870, Recon MSE: 0.001107, Probing Acc: 0.0595, Score: 0.018602
Epoch 70/500, Train Loss: -5.8267, Val Loss: -5.7670, Recon MSE: 0.001081, Probing Acc: 0.0632, Score: 0.017090
Epoch 71/500, Train Loss: -5.8291, Val Loss: -5.7243, Recon MSE: 0.001084, Probing Acc: 0.0606, Score: 0.017885
Epoch 72/500, Train Loss: -5.8297, Val Loss: -5.5581, Recon MSE: 0.001075, Probing Acc: 0.0640, Score: 0.016784
Epoch 73/500, Train Loss: -5.8372, Val Loss: -5.5737, Recon MSE: 0.001082, Probing Acc: 0.0571, Score: 0.018928
Epoch 74/500, Train Loss: -5.8446, Val Loss: -5.6688, Recon MSE: 0.001096, Probing Acc: 0.0635, Score: 0.017257
Epoch 75/500, Train Loss: -5.8483, Val Loss: -5.7661, Recon MSE: 0.001047, Probing Acc: 0.0611, Score: 0.017131
Epoch 76/500, Train Loss: -5.8550, Val Loss: -5.7167, Recon MSE: 0.001088, Probing Acc: 0.0672, Score: 0.016189
Epoch 77/500, Train Loss: -5.8637, Val Loss: -5.5749, Recon MSE: 0.001048, Probing Acc: 0.0595, Score: 0.017611
Epoch 78/500, Train Loss: -5.8582, Val Loss: -5.7864, Recon MSE: 0.001065, Probing Acc: 0.0563, Score: 0.018899
Epoch 79/500, Train Loss: -5.8684, Val Loss: -5.7974, Recon MSE: 0.001047, Probing Acc: 0.0667, Score: 0.015712
Epoch 80/500, Train Loss: -5.8739, Val Loss: -5.7844, Recon MSE: 0.001088, Probing Acc: 0.0616, Score: 0.017657
Epoch 81/500, Train Loss: -5.8790, Val Loss: -5.6999, Recon MSE: 0.001080, Probing Acc: 0.0661, Score: 0.016325
Epoch 82/500, Train Loss: -5.8813, Val Loss: -5.6107, Recon MSE: 0.001081, Probing Acc: 0.0672, Score: 0.016089
Epoch 83/500, Train Loss: -5.8885, Val Loss: -5.5067, Recon MSE: 0.001062, Probing Acc: 0.0601, Score: 0.017684
Epoch 84/500, Train Loss: -5.8888, Val Loss: -5.7652, Recon MSE: 0.001040, Probing Acc: 0.0656, Score: 0.015845
Epoch 85/500, Train Loss: -5.8956, Val Loss: -5.5645, Recon MSE: 0.001039, Probing Acc: 0.0598, Score: 0.017382
Epoch 86/500, Train Loss: -5.8988, Val Loss: -5.7750, Recon MSE: 0.001034, Probing Acc: 0.0651, Score: 0.015890
Epoch 87/500, Train Loss: -5.9071, Val Loss: -5.2772, Recon MSE: 0.001041, Probing Acc: 0.0574, Score: 0.018142
Epoch 88/500, Train Loss: -5.9014, Val Loss: -5.4452, Recon MSE: 0.001131, Probing Acc: 0.0579, Score: 0.019513
Epoch 89/500, Train Loss: -5.9138, Val Loss: -5.8027, Recon MSE: 0.001025, Probing Acc: 0.0672, Score: 0.015261
Epoch 90/500, Train Loss: -5.9136, Val Loss: -5.6282, Recon MSE: 0.001031, Probing Acc: 0.0640, Score: 0.016103
Epoch 91/500, Train Loss: -5.9182, Val Loss: -5.7953, Recon MSE: 0.001043, Probing Acc: 0.0651, Score: 0.016028
Epoch 92/500, Train Loss: -5.9203, Val Loss: -5.7098, Recon MSE: 0.001008, Probing Acc: 0.0659, Score: 0.015307
Epoch 93/500, Train Loss: -5.9283, Val Loss: -5.8791, Recon MSE: 0.001009, Probing Acc: 0.0646, Score: 0.015626
Epoch 94/500, Train Loss: -5.9314, Val Loss: -5.7833, Recon MSE: 0.001031, Probing Acc: 0.0696, Score: 0.014812
Epoch 95/500, Train Loss: -5.9328, Val Loss: -5.5955, Recon MSE: 0.001032, Probing Acc: 0.0683, Score: 0.015125
Epoch 96/500, Train Loss: -5.9420, Val Loss: -5.5690, Recon MSE: 0.001007, Probing Acc: 0.0656, Score: 0.015345
Epoch 97/500, Train Loss: -5.9415, Val Loss: -5.4862, Recon MSE: 0.001000, Probing Acc: 0.0640, Score: 0.015622
Epoch 98/500, Train Loss: -5.9452, Val Loss: -5.8638, Recon MSE: 0.000991, Probing Acc: 0.0685, Score: 0.014456
Epoch 99/500, Train Loss: -5.9502, Val Loss: -5.7871, Recon MSE: 0.001007, Probing Acc: 0.0690, Score: 0.014581
Epoch 100/500, Train Loss: -5.9555, Val Loss: -5.6830, Recon MSE: 0.001014, Probing Acc: 0.0646, Score: 0.015704
Epoch 101/500, Train Loss: -5.9652, Val Loss: -5.8263, Recon MSE: 0.000979, Probing Acc: 0.0709, Score: 0.013801
Epoch 102/500, Train Loss: -5.9623, Val Loss: -5.7287, Recon MSE: 0.000993, Probing Acc: 0.0661, Score: 0.015020
Epoch 103/500, Train Loss: -5.9634, Val Loss: -5.7162, Recon MSE: 0.001004, Probing Acc: 0.0638, Score: 0.015748
Epoch 104/500, Train Loss: -5.9640, Val Loss: -5.7238, Recon MSE: 0.000959, Probing Acc: 0.0656, Score: 0.014621
Epoch 105/500, Train Loss: -5.9750, Val Loss: -5.8078, Recon MSE: 0.001010, Probing Acc: 0.0751, Score: 0.013449
Epoch 106/500, Train Loss: -5.9752, Val Loss: -5.3320, Recon MSE: 0.000995, Probing Acc: 0.0635, Score: 0.015674
